Date,Open,High,Low,Close,Adj Close,Volume
2019-07-23,3.900000,4.250000,3.310000,3.640000,3.640000,2329700
2019-07-24,3.700000,4.100000,3.550000,4.000000,4.000000,986200
2019-07-25,4.100000,5.090000,3.950000,4.570000,4.570000,3107300
2019-07-26,4.690000,5.440000,4.590000,5.340000,5.340000,4265200
2019-07-29,5.300000,5.336000,4.010000,4.390000,4.390000,2964300
2019-07-30,4.280000,4.280000,3.850000,3.850000,3.850000,1207100
2019-07-31,3.910000,4.450000,3.910000,4.320000,4.320000,1040000
2019-08-01,4.550000,4.840000,4.200000,4.400000,4.400000,1068500
2019-08-02,4.350000,4.580000,4.120000,4.190000,4.190000,755500
2019-08-05,3.950000,4.190000,3.750000,4.150000,4.150000,464400
2019-08-06,4.240000,4.500000,4.050000,4.200000,4.200000,562600
2019-08-07,4.200000,4.360000,4.030000,4.200000,4.200000,315900
2019-08-08,4.240000,4.370000,3.960000,4.030000,4.030000,463800
2019-08-09,4.010000,4.100000,3.620000,3.650000,3.650000,542700
2019-08-12,3.730000,3.730000,3.100000,3.120000,3.120000,766800
2019-08-13,3.100000,3.680000,2.900000,3.200000,3.200000,718000
2019-08-14,3.100000,3.180000,2.720000,2.830000,2.830000,751800
2019-08-15,2.600000,3.100000,2.580000,2.870000,2.870000,389000
2019-08-16,2.810000,3.200000,2.810000,3.040000,3.040000,369400
2019-08-19,3.100000,3.600000,3.082000,3.400000,3.400000,614700
2019-08-20,3.470000,3.650000,3.410000,3.540000,3.540000,438500
2019-08-21,3.620000,3.970000,3.550000,3.660000,3.660000,728800
2019-08-22,3.650000,3.712000,3.220000,3.300000,3.300000,401500
2019-08-23,3.250000,3.520000,3.150000,3.430000,3.430000,294300
2019-08-26,3.480000,3.549000,3.080000,3.210000,3.210000,260300
2019-08-27,3.250000,3.540000,3.200000,3.310000,3.310000,302900
2019-08-28,3.260000,3.310000,3.150000,3.260000,3.260000,125300
2019-08-29,3.280000,3.280000,3.110000,3.170000,3.170000,109500
2019-08-30,3.150000,3.250000,3.100000,3.200000,3.200000,161600
2019-09-03,3.200000,3.250000,3.020000,3.130000,3.130000,166400
2019-09-04,3.210000,3.230000,3.060000,3.120000,3.120000,127200
2019-09-05,3.120000,3.199000,2.900000,3.010000,3.010000,188700
2019-09-06,3.020000,3.080000,2.921000,3.000000,3.000000,118200
2019-09-09,3.030000,3.077000,2.780000,2.920000,2.920000,388600
2019-09-10,2.890000,2.920000,2.730000,2.730000,2.730000,219700
2019-09-11,2.750000,2.770000,2.420000,2.550000,2.550000,412700
2019-09-12,2.550000,2.610000,2.540000,2.590000,2.590000,85000
2019-09-13,2.510000,2.630000,2.400000,2.480000,2.480000,252500
2019-09-16,2.460000,2.900000,2.450000,2.730000,2.730000,296900
2019-09-17,2.820000,2.920000,2.640000,2.750000,2.750000,88600
2019-09-18,2.770000,2.770000,2.510000,2.600000,2.600000,117400
2019-09-19,2.620000,2.665000,2.530000,2.540000,2.540000,79900
2019-09-20,2.520000,2.630000,2.410000,2.420000,2.420000,226700
2019-09-23,2.400000,2.490000,2.280000,2.300000,2.300000,185300
2019-09-24,2.320000,2.489000,2.320000,2.400000,2.400000,114700
2019-09-25,2.340000,2.480000,2.330000,2.430000,2.430000,60700
2019-09-26,2.450000,2.480000,2.350000,2.380000,2.380000,109300
2019-09-27,2.380000,2.391000,2.200000,2.240000,2.240000,109900
